rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
4,close,67.219.110.24,56,,,10,10,10,0.0,69.14427960000467,28.692822999801137,117.76483100038604
4,close,108.61.212.117,56,,,10,10,10,0.0,98.73545190002915,47.873442999843974,136.58071600002586
4,close,192.53.169.225,56,,,10,10,10,0.0,100.34221089990751,47.44887699962419,143.1162230001064
4,midway,45.32.100.168,56,,,10,10,10,0.0,385.36241839992726,343.63909200146736,437.4250780001603
4,midway,108.61.201.151,56,,,10,10,10,0.0,336.0376921002171,292.6572960004705,378.3319879985356
4,midway,141.164.34.61,56,,,10,10,10,0.0,407.3049379998338,354.3087389989523,450.0603760006925
4,far,108.61.194.105,56,,,10,10,10,0.0,270.83209800002805,229.96159399917815,315.0544340005581
4,far,108.61.198.102,56,,,10,10,10,0.0,379.5446693997292,340.97173000009207,432.9299960008939
4,far,108.61.210.117,56,,,10,10,10,0.0,407.3216863002017,354.3769309999334,450.20717500119645
