rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
3,afternoon,,2026-09-15T16:24:45+10:00,1.1.1.1,1.1.1.1,1,56,64,55,62.59843999998793,reply
3,afternoon,,2026-09-15T16:24:46+10:00,1.1.1.1,1.1.1.1,2,56,64,55,86.18120899996029,reply
3,afternoon,,2026-09-15T16:24:47+10:00,1.1.1.1,1.1.1.1,3,56,64,55,109.79759200006356,reply
3,afternoon,,2026-09-15T16:24:48+10:00,1.1.1.1,1.1.1.1,4,56,64,55,133.42571400005454,reply
3,afternoon,,2026-09-15T16:24:49+10:00,1.1.1.1,1.1.1.1,5,56,64,55,54.65063299993744,reply
3,afternoon,,2026-09-15T16:24:50+10:00,1.1.1.1,1.1.1.1,6,56,64,55,44.52289699997891,reply
3,afternoon,,2026-09-15T16:24:51+10:00,1.1.1.1,1.1.1.1,7,56,64,55,42.4183490000587,reply
3,afternoon,,2026-09-15T16:24:52+10:00,1.1.1.1,1.1.1.1,8,56,64,55,125.48167700003887,reply
3,afternoon,,2026-09-15T16:24:53+10:00,1.1.1.1,1.1.1.1,9,56,64,55,43.733551999935116,reply
3,afternoon,,2026-09-15T16:24:54+10:00,1.1.1.1,1.1.1.1,10,56,64,55,70.34502999999859,reply
3,afternoon,,2026-09-15T16:24:55+10:00,8.8.8.8,8.8.8.8,1,56,64,114,125.26275499999429,reply
3,afternoon,,2026-09-15T16:24:56+10:00,8.8.8.8,8.8.8.8,2,56,64,114,46.759452999936,reply
3,afternoon,,2026-09-15T16:24:57+10:00,8.8.8.8,8.8.8.8,3,56,64,114,70.43471800000134,reply
3,afternoon,,2026-09-15T16:24:58+10:00,8.8.8.8,8.8.8.8,4,56,64,114,94.10045999993599,reply
3,afternoon,,2026-09-15T16:24:59+10:00,8.8.8.8,8.8.8.8,5,56,64,114,117.6822429999902,reply
3,afternoon,,2026-09-15T16:25:00+10:00,8.8.8.8,8.8.8.8,6,56,64,114,141.3723809999965,reply
3,afternoon,,2026-09-15T16:25:01+10:00,8.8.8.8,8.8.8.8,7,56,64,114,62.09932199999457,reply
3,afternoon,,2026-09-15T16:25:02+10:00,8.8.8.8,8.8.8.8,8,56,64,114,86.30714499997794,reply
3,afternoon,,2026-09-15T16:25:03+10:00,8.8.8.8,8.8.8.8,9,56,64,114,109.97055299992553,reply
3,afternoon,,2026-09-15T16:25:04+10:00,8.8.8.8,8.8.8.8,10,56,64,114,123.88331099998595,reply
3,afternoon,,2026-09-15T16:25:05+10:00,9.9.9.9,9.9.9.9,1,56,64,52,32.94163900000058,reply
3,afternoon,,2026-09-15T16:25:06+10:00,9.9.9.9,9.9.9.9,2,56,64,52,57.02633099997456,reply
3,afternoon,,2026-09-15T16:25:07+10:00,9.9.9.9,9.9.9.9,3,56,64,52,35.67026500002157,reply
3,afternoon,,2026-09-15T16:25:08+10:00,9.9.9.9,9.9.9.9,4,56,64,52,104.00982599992403,reply
3,afternoon,,2026-09-15T16:25:09+10:00,9.9.9.9,9.9.9.9,5,56,64,52,127.65660100001242,reply
3,afternoon,,2026-09-15T16:25:10+10:00,9.9.9.9,9.9.9.9,6,56,64,52,48.93371899993326,reply
3,afternoon,,2026-09-15T16:25:11+10:00,9.9.9.9,9.9.9.9,7,56,64,52,72.57000499998867,reply
3,afternoon,,2026-09-15T16:25:12+10:00,9.9.9.9,9.9.9.9,8,56,64,52,96.28107399998953,reply
3,afternoon,,2026-09-15T16:25:13+10:00,9.9.9.9,9.9.9.9,9,56,64,52,49.99590799991438,reply
3,afternoon,,2026-09-15T16:25:14+10:00,9.9.9.9,9.9.9.9,10,56,64,52,41.498808000028475,reply
