rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
5,idle,,2026-09-15T16:26:48+10:00,1.1.1.1,1.1.1.1,1,56,64,55,35.335605000000214,reply
5,idle,,2026-09-15T16:26:49+10:00,1.1.1.1,1.1.1.1,2,56,64,55,79.89792700004728,reply
5,idle,,2026-09-15T16:26:50+10:00,1.1.1.1,1.1.1.1,3,56,64,55,103.68485599997257,reply
5,idle,,2026-09-15T16:26:51+10:00,1.1.1.1,1.1.1.1,4,56,64,55,127.97115399996528,reply
5,idle,,2026-09-15T16:26:52+10:00,1.1.1.1,1.1.1.1,5,56,64,55,48.95019499997488,reply
5,idle,,2026-09-15T16:26:53+10:00,1.1.1.1,1.1.1.1,6,56,64,55,33.86353799999142,reply
5,idle,,2026-09-15T16:26:54+10:00,1.1.1.1,1.1.1.1,7,56,64,55,96.68030799991811,reply
5,idle,,2026-09-15T16:26:55+10:00,1.1.1.1,1.1.1.1,8,56,64,55,120.08020799999031,reply
5,idle,,2026-09-15T16:26:56+10:00,1.1.1.1,1.1.1.1,9,56,64,55,144.29508400007762,reply
5,idle,,2026-09-15T16:26:57+10:00,1.1.1.1,1.1.1.1,10,56,64,55,65.77692899998056,reply
5,idle,,2026-09-15T16:26:58+10:00,1.1.1.1,1.1.1.1,11,56,64,55,89.6137260000387,reply
5,idle,,2026-09-15T16:26:59+10:00,1.1.1.1,1.1.1.1,12,56,64,55,63.77637000002778,reply
5,idle,,2026-09-15T16:27:00+10:00,1.1.1.1,1.1.1.1,13,56,64,55,137.36882099999548,reply
5,idle,,2026-09-15T16:27:01+10:00,1.1.1.1,1.1.1.1,14,56,64,55,58.56285400000161,reply
5,idle,,2026-09-15T16:27:02+10:00,1.1.1.1,1.1.1.1,15,56,64,55,82.60976100007156,reply
5,idle,,2026-09-15T16:27:03+10:00,1.1.1.1,1.1.1.1,16,56,64,55,106.39200900004653,reply
5,idle,,2026-09-15T16:27:04+10:00,1.1.1.1,1.1.1.1,17,56,64,55,130.29269900005147,reply
5,idle,,2026-09-15T16:27:05+10:00,1.1.1.1,1.1.1.1,18,56,64,55,154.12875599997733,reply
5,idle,,2026-09-15T16:27:06+10:00,1.1.1.1,1.1.1.1,19,56,64,55,75.59733600010077,reply
5,idle,,2026-09-15T16:27:07+10:00,1.1.1.1,1.1.1.1,20,56,64,55,98.96081599993067,reply
5,idle,,2026-09-15T16:27:08+10:00,1.1.1.1,1.1.1.1,21,56,64,55,123.28653700001269,reply
5,idle,,2026-09-15T16:27:09+10:00,1.1.1.1,1.1.1.1,22,56,64,55,44.74455699994451,reply
5,idle,,2026-09-15T16:27:10+10:00,1.1.1.1,1.1.1.1,23,56,64,55,68.61349200005407,reply
5,idle,,2026-09-15T16:27:11+10:00,1.1.1.1,1.1.1.1,24,56,64,55,107.71445000000313,reply
5,idle,,2026-09-15T16:27:12+10:00,1.1.1.1,1.1.1.1,25,56,64,55,128.7402350000093,reply
5,idle,,2026-09-15T16:27:13+10:00,1.1.1.1,1.1.1.1,26,56,64,55,147.10852899997917,reply
5,idle,,2026-09-15T16:27:14+10:00,1.1.1.1,1.1.1.1,27,56,64,55,133.17519400004585,reply
5,idle,,2026-09-15T16:27:15+10:00,1.1.1.1,1.1.1.1,28,56,64,55,122.7653729999929,reply
5,idle,,2026-09-15T16:27:16+10:00,1.1.1.1,1.1.1.1,29,56,64,55,109.40071000004536,reply
5,idle,,2026-09-15T16:27:17+10:00,1.1.1.1,1.1.1.1,30,56,64,55,132.81196200000522,reply
5,idle,,2026-09-15T16:27:18+10:00,1.1.1.1,1.1.1.1,31,56,64,55,54.73195799993391,reply
5,idle,,2026-09-15T16:27:19+10:00,1.1.1.1,1.1.1.1,32,56,64,55,79.72709000000577,reply
