rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
1,baseline,,2026-09-15T16:21:40+10:00,1.1.1.1,1.1.1.1,1,32,40,55,84.96030300000257,reply
1,baseline,,2026-09-15T16:21:41+10:00,1.1.1.1,1.1.1.1,2,32,40,55,108.80566200000885,reply
1,baseline,,2026-09-15T16:21:42+10:00,1.1.1.1,1.1.1.1,3,32,40,55,30.286826000065048,reply
1,baseline,,2026-09-15T16:21:43+10:00,1.1.1.1,1.1.1.1,4,32,40,55,53.89725600002748,reply
1,baseline,,2026-09-15T16:21:44+10:00,1.1.1.1,1.1.1.1,5,32,40,55,77.77034299999741,reply
1,baseline,,2026-09-15T16:21:45+10:00,1.1.1.1,1.1.1.1,6,32,40,55,101.58530800003973,reply
1,baseline,,2026-09-15T16:21:46+10:00,1.1.1.1,1.1.1.1,7,32,40,55,121.97720500000742,reply
1,baseline,,2026-09-15T16:21:47+10:00,1.1.1.1,1.1.1.1,8,32,40,55,47.25637400008509,reply
1,baseline,,2026-09-15T16:21:48+10:00,1.1.1.1,1.1.1.1,9,32,40,55,70.82059900005788,reply
1,baseline,,2026-09-15T16:21:49+10:00,1.1.1.1,1.1.1.1,10,32,40,55,94.74402899991219,reply
1,baseline,,2026-09-15T16:21:51+10:00,1.1.1.1,1.1.1.1,1,500,508,55,126.59977499993147,reply
1,baseline,,2026-09-15T16:21:52+10:00,1.1.1.1,1.1.1.1,2,500,508,55,47.44733300003645,reply
1,baseline,,2026-09-15T16:21:53+10:00,1.1.1.1,1.1.1.1,3,500,508,55,71.17082800004937,reply
1,baseline,,2026-09-15T16:21:54+10:00,1.1.1.1,1.1.1.1,4,500,508,55,95.21811899992372,reply
1,baseline,,2026-09-15T16:21:55+10:00,1.1.1.1,1.1.1.1,5,500,508,55,120.01468799996928,reply
1,baseline,,2026-09-15T16:21:56+10:00,1.1.1.1,1.1.1.1,6,500,508,55,41.0148720000052,reply
1,baseline,,2026-09-15T16:21:57+10:00,1.1.1.1,1.1.1.1,7,500,508,55,65.54091700002118,reply
1,baseline,,2026-09-15T16:21:58+10:00,1.1.1.1,1.1.1.1,8,500,508,55,89.59543800006031,reply
1,baseline,,2026-09-15T16:21:59+10:00,1.1.1.1,1.1.1.1,9,500,508,55,112.61405899995225,reply
1,baseline,,2026-09-15T16:22:00+10:00,1.1.1.1,1.1.1.1,10,500,508,55,136.57919199999924,reply
1,baseline,,2026-09-15T16:22:01+10:00,1.1.1.1,1.1.1.1,1,1400,1408,55,83.50939299998572,reply
1,baseline,,2026-09-15T16:22:02+10:00,1.1.1.1,1.1.1.1,2,1400,1408,55,149.837510999987,reply
1,baseline,,2026-09-15T16:22:03+10:00,1.1.1.1,1.1.1.1,3,1400,1408,55,68.29047799999444,reply
1,baseline,,2026-09-15T16:22:04+10:00,1.1.1.1,1.1.1.1,4,1400,1408,55,95.07273500003066,reply
1,baseline,,2026-09-15T16:22:05+10:00,1.1.1.1,1.1.1.1,5,1400,1408,55,118.88241600001948,reply
1,baseline,,2026-09-15T16:22:06+10:00,1.1.1.1,1.1.1.1,6,1400,1408,55,158.18706400000337,reply
1,baseline,,2026-09-15T16:22:07+10:00,1.1.1.1,1.1.1.1,7,1400,1408,55,51.776484000015444,reply
1,baseline,,2026-09-15T16:22:08+10:00,1.1.1.1,1.1.1.1,8,1400,1408,55,113.66854699997475,reply
1,baseline,,2026-09-15T16:22:09+10:00,1.1.1.1,1.1.1.1,9,1400,1408,55,132.4597839999342,reply
1,baseline,,2026-09-15T16:22:10+10:00,1.1.1.1,1.1.1.1,10,1400,1408,55,101.41537799995604,reply
1,baseline,,2026-09-15T16:22:11+10:00,1.1.1.1,1.1.1.1,1,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:13+10:00,1.1.1.1,1.1.1.1,2,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:15+10:00,1.1.1.1,1.1.1.1,3,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:17+10:00,1.1.1.1,1.1.1.1,4,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:19+10:00,1.1.1.1,1.1.1.1,5,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:21+10:00,1.1.1.1,1.1.1.1,6,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:23+10:00,1.1.1.1,1.1.1.1,7,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:25+10:00,1.1.1.1,1.1.1.1,8,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:27+10:00,1.1.1.1,1.1.1.1,9,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:29+10:00,1.1.1.1,1.1.1.1,10,3000,0,,,timeout
1,baseline,,2026-09-15T16:22:32+10:00,8.8.8.8,8.8.8.8,1,32,40,114,133.3467849999579,reply
1,baseline,,2026-09-15T16:22:33+10:00,8.8.8.8,8.8.8.8,2,32,40,114,55.50553399996261,reply
1,baseline,,2026-09-15T16:22:34+10:00,8.8.8.8,8.8.8.8,3,32,40,114,79.04405099998257,reply
1,baseline,,2026-09-15T16:22:35+10:00,8.8.8.8,8.8.8.8,4,32,40,114,102.91198000004442,reply
1,baseline,,2026-09-15T16:22:36+10:00,8.8.8.8,8.8.8.8,5,32,40,114,43.3923869999262,reply
1,baseline,,2026-09-15T16:22:37+10:00,8.8.8.8,8.8.8.8,6,32,40,114,41.423645000008946,reply
1,baseline,,2026-09-15T16:22:38+10:00,8.8.8.8,8.8.8.8,7,32,40,114,72.71822199993494,reply
1,baseline,,2026-09-15T16:22:39+10:00,8.8.8.8,8.8.8.8,8,32,40,114,96.09724500000993,reply
1,baseline,,2026-09-15T16:22:40+10:00,8.8.8.8,8.8.8.8,9,32,40,114,40.461647999904926,reply
1,baseline,,2026-09-15T16:22:41+10:00,8.8.8.8,8.8.8.8,10,32,40,114,144.3050039999889,reply
1,baseline,,2026-09-15T16:22:42+10:00,8.8.8.8,8.8.8.8,1,500,508,114,127.13174999998955,reply
1,baseline,,2026-09-15T16:22:43+10:00,8.8.8.8,8.8.8.8,2,500,508,114,150.403411999946,reply
1,baseline,,2026-09-15T16:22:44+10:00,8.8.8.8,8.8.8.8,3,500,508,114,72.24992499993732,reply
1,baseline,,2026-09-15T16:22:45+10:00,8.8.8.8,8.8.8.8,4,500,508,114,95.40047099994808,reply
1,baseline,,2026-09-15T16:22:46+10:00,8.8.8.8,8.8.8.8,5,500,508,114,78.67119399998046,reply
1,baseline,,2026-09-15T16:22:47+10:00,8.8.8.8,8.8.8.8,6,500,508,114,79.55863900008353,reply
1,baseline,,2026-09-15T16:22:48+10:00,8.8.8.8,8.8.8.8,7,500,508,114,66.2311520000003,reply
1,baseline,,2026-09-15T16:22:49+10:00,8.8.8.8,8.8.8.8,8,500,508,114,74.64222299995527,reply
1,baseline,,2026-09-15T16:22:50+10:00,8.8.8.8,8.8.8.8,9,500,508,114,113.54486599998381,reply
1,baseline,,2026-09-15T16:22:51+10:00,8.8.8.8,8.8.8.8,10,500,508,114,119.45290300002398,reply
1,baseline,,2026-09-15T16:22:52+10:00,8.8.8.8,8.8.8.8,1,1400,1408,114,144.61050799991426,reply
1,baseline,,2026-09-15T16:22:53+10:00,8.8.8.8,8.8.8.8,2,1400,1408,114,168.68560799991883,reply
1,baseline,,2026-09-15T16:22:54+10:00,8.8.8.8,8.8.8.8,3,1400,1408,114,89.96751799998037,reply
1,baseline,,2026-09-15T16:22:55+10:00,8.8.8.8,8.8.8.8,4,1400,1408,114,115.20271500000945,reply
1,baseline,,2026-09-15T16:22:56+10:00,8.8.8.8,8.8.8.8,5,1400,1408,114,57.059793999997055,reply
1,baseline,,2026-09-15T16:22:57+10:00,8.8.8.8,8.8.8.8,6,1400,1408,114,58.61485200000516,reply
1,baseline,,2026-09-15T16:22:58+10:00,8.8.8.8,8.8.8.8,7,1400,1408,114,82.86844799999926,reply
1,baseline,,2026-09-15T16:22:59+10:00,8.8.8.8,8.8.8.8,8,1400,1408,114,107.58745900000122,reply
1,baseline,,2026-09-15T16:23:00+10:00,8.8.8.8,8.8.8.8,9,1400,1408,114,131.08881799996652,reply
1,baseline,,2026-09-15T16:23:01+10:00,8.8.8.8,8.8.8.8,10,1400,1408,114,53.06510000002618,reply
1,baseline,,2026-09-15T16:23:02+10:00,8.8.8.8,8.8.8.8,1,3000,0,,,timeout
1,baseline,,2026-09-15T16:23:04+10:00,8.8.8.8,8.8.8.8,2,3000,0,,,timeout
