rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
4,close,67.219.110.24,56,,,10,10,10,0.0,11.054219794459641,7.353333989158273,14.19313601218164
4,close,108.61.212.117,56,,,10,10,10,0.0,25.810869585257024,20.63262602314353,38.69217401370406
4,close,192.53.169.225,56,,,10,10,10,0.0,22.82996861031279,20.58767108246684,26.361021911725402
4,midway,45.32.100.168,56,,,10,10,10,0.0,417.4722359050065,414.3854130525142,424.5390410069376
4,midway,108.61.201.151,56,,,10,10,10,0.0,381.97437340859324,374.4912849506363,415.88766302447766
4,midway,141.164.34.61,56,,,10,10,10,0.0,387.10437970003113,384.56437294371426,389.3323380034417
4,far,108.61.194.105,56,,,10,10,10,0.0,163.7738813762553,156.6132289590314,176.9680039724335
4,far,108.61.198.102,56,,,10,10,10,0.0,284.3025448033586,277.3484439821914,314.3857339164242
4,far,108.61.210.117,56,,,10,10,10,0.0,282.92601867578924,278.7265799706802,288.310440024361
