rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
1,baseline,1.1.1.1,32,,,10,10,10,0.0,11.881163890939206,8.352116914466023,23.597804945893586
1,baseline,1.1.1.1,500,,,10,10,10,0.0,11.079642397817224,8.356545004062355,15.851184027269483
1,baseline,1.1.1.1,1400,,,10,10,10,0.0,13.69696338661015,8.218777948059142,33.4661869565025
1,baseline,1.1.1.1,3000,,,10,10,10,0.0,15.5368790961802,10.610924917273223,34.92562496103346
1,baseline,8.8.8.8,32,,,10,10,10,0.0,10.011869901791215,7.333747111260891,14.786697924137115
1,baseline,8.8.8.8,500,,,10,10,10,0.0,11.679631192237139,7.746972027234733,19.904306973330677
1,baseline,8.8.8.8,1400,,,10,10,10,0.0,10.236683313269168,7.926498888991773,15.075339004397392
1,baseline,8.8.8.8,3000,,,10,10,0,100.0,,,
1,baseline,9.9.9.9,32,,,10,10,10,0.0,10.2382006123662,7.061055977828801,26.945757097564638
1,baseline,9.9.9.9,500,,,10,10,10,0.0,9.35358819551766,7.488147006370127,12.978947022929788
1,baseline,9.9.9.9,1400,,,10,10,9,10.0,11.100608001773557,8.011739002540708,19.749547936953604
1,baseline,9.9.9.9,3000,,,10,10,10,0.0,16.675518464762717,10.836508008651435,26.819319929927588
