rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
2,wired,,2026-09-15T19:24:34+10:00,1.1.1.1,1.1.1.1,1,56,64,55,46.83066500001587,reply
2,wired,,2026-09-15T19:24:35+10:00,1.1.1.1,1.1.1.1,2,56,64,55,70.92966499840259,reply
2,wired,,2026-09-15T19:24:36+10:00,1.1.1.1,1.1.1.1,3,56,64,55,94.69132300000638,reply
2,wired,,2026-09-15T19:24:37+10:00,1.1.1.1,1.1.1.1,4,56,64,55,118.89742300081707,reply
2,wired,,2026-09-15T19:24:38+10:00,1.1.1.1,1.1.1.1,5,56,64,55,40.47886300031678,reply
2,wired,,2026-09-15T19:24:39+10:00,1.1.1.1,1.1.1.1,6,56,64,55,17.17907300007937,reply
2,wired,,2026-09-15T19:24:40+10:00,1.1.1.1,1.1.1.1,7,56,64,55,87.9110869991564,reply
2,wired,,2026-09-15T19:24:41+10:00,1.1.1.1,1.1.1.1,8,56,64,55,21.77189299982274,reply
2,wired,,2026-09-15T19:24:42+10:00,1.1.1.1,1.1.1.1,9,56,64,55,68.75586499882047,reply
2,wired,,2026-09-15T19:24:43+10:00,1.1.1.1,1.1.1.1,10,56,64,55,57.57793500015396,reply
2,wired,,2026-09-15T19:24:44+10:00,8.8.8.8,8.8.8.8,1,56,64,114,126.09711699951731,reply
2,wired,,2026-09-15T19:24:45+10:00,8.8.8.8,8.8.8.8,2,56,64,114,36.24792300070112,reply
2,wired,,2026-09-15T19:24:46+10:00,8.8.8.8,8.8.8.8,3,56,64,114,71.3098189989978,reply
2,wired,,2026-09-15T19:24:47+10:00,8.8.8.8,8.8.8.8,4,56,64,114,95.22554499926628,reply
2,wired,,2026-09-15T19:24:48+10:00,8.8.8.8,8.8.8.8,5,56,64,114,119.05524099893228,reply
2,wired,,2026-09-15T19:24:49+10:00,8.8.8.8,8.8.8.8,6,56,64,114,28.153560999271576,reply
2,wired,,2026-09-15T19:24:50+10:00,8.8.8.8,8.8.8.8,7,56,64,114,64.53171800058044,reply
2,wired,,2026-09-15T19:24:51+10:00,8.8.8.8,8.8.8.8,8,56,64,114,87.95366699996521,reply
2,wired,,2026-09-15T19:24:52+10:00,8.8.8.8,8.8.8.8,9,56,64,114,112.33251200064842,reply
2,wired,,2026-09-15T19:24:53+10:00,8.8.8.8,8.8.8.8,10,56,64,114,33.806991999881575,reply
2,wired,,2026-09-15T19:24:54+10:00,9.9.9.9,9.9.9.9,1,56,64,52,125.51195900050516,reply
2,wired,,2026-09-15T19:24:55+10:00,9.9.9.9,9.9.9.9,2,56,64,52,47.42482000074233,reply
2,wired,,2026-09-15T19:24:56+10:00,9.9.9.9,9.9.9.9,3,56,64,52,70.7836910005426,reply
2,wired,,2026-09-15T19:24:57+10:00,9.9.9.9,9.9.9.9,4,56,64,52,95.15384099904622,reply
2,wired,,2026-09-15T19:24:58+10:00,9.9.9.9,9.9.9.9,5,56,64,52,118.62229799953639,reply
2,wired,,2026-09-15T19:24:59+10:00,9.9.9.9,9.9.9.9,6,56,64,52,24.847926000802545,reply
2,wired,,2026-09-15T19:25:00+10:00,9.9.9.9,9.9.9.9,7,56,64,52,64.51921400002902,reply
2,wired,,2026-09-15T19:25:01+10:00,9.9.9.9,9.9.9.9,8,56,64,52,88.17241799988551,reply
2,wired,,2026-09-15T19:25:02+10:00,9.9.9.9,9.9.9.9,9,56,64,52,112.37375100063218,reply
2,wired,,2026-09-15T19:25:03+10:00,9.9.9.9,9.9.9.9,10,56,64,52,33.408082999812905,reply
