rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
4,close,,2026-09-15T19:25:35+10:00,67.219.110.24,67.219.110.24,1,56,64,49,53.01452200001222,reply
4,close,,2026-09-15T19:25:36+10:00,67.219.110.24,67.219.110.24,2,56,64,49,77.27538699873548,reply
4,close,,2026-09-15T19:25:37+10:00,67.219.110.24,67.219.110.24,3,56,64,49,101.11842699916451,reply
4,close,,2026-09-15T19:25:38+10:00,67.219.110.24,67.219.110.24,4,56,64,49,28.692822999801137,reply
4,close,,2026-09-15T19:25:39+10:00,67.219.110.24,67.219.110.24,5,56,64,49,46.300019001137116,reply
4,close,,2026-09-15T19:25:40+10:00,67.219.110.24,67.219.110.24,6,56,64,49,70.47703699936392,reply
4,close,,2026-09-15T19:25:41+10:00,67.219.110.24,67.219.110.24,7,56,64,49,93.93233000082546,reply
4,close,,2026-09-15T19:25:42+10:00,67.219.110.24,67.219.110.24,8,56,64,49,117.76483100038604,reply
4,close,,2026-09-15T19:25:43+10:00,67.219.110.24,67.219.110.24,9,56,64,49,39.74923399982799,reply
4,close,,2026-09-15T19:25:44+10:00,67.219.110.24,67.219.110.24,10,56,64,49,63.118186000792775,reply
4,close,,2026-09-15T19:25:45+10:00,108.61.212.117,108.61.212.117,1,56,64,48,126.75061600020854,reply
4,close,,2026-09-15T19:25:46+10:00,108.61.212.117,108.61.212.117,2,56,64,48,47.873442999843974,reply
4,close,,2026-09-15T19:25:47+10:00,108.61.212.117,108.61.212.117,3,56,64,48,71.73361599961936,reply
4,close,,2026-09-15T19:25:48+10:00,108.61.212.117,108.61.212.117,4,56,64,48,95.65465200103063,reply
4,close,,2026-09-15T19:25:49+10:00,108.61.212.117,108.61.212.117,5,56,64,48,119.05546299931302,reply
4,close,,2026-09-15T19:25:50+10:00,108.61.212.117,108.61.212.117,6,56,64,48,123.49747999905958,reply
4,close,,2026-09-15T19:25:51+10:00,108.61.212.117,108.61.212.117,7,56,64,48,64.68538700028148,reply
4,close,,2026-09-15T19:25:52+10:00,108.61.212.117,108.61.212.117,8,56,64,48,88.81468500112533,reply
4,close,,2026-09-15T19:25:53+10:00,108.61.212.117,108.61.212.117,9,56,64,48,112.70846099978371,reply
4,close,,2026-09-15T19:25:54+10:00,108.61.212.117,108.61.212.117,10,56,64,48,136.58071600002586,reply
4,close,,2026-09-15T19:25:55+10:00,192.53.169.225,192.53.169.225,1,56,64,50,126.03936099912971,reply
4,close,,2026-09-15T19:25:56+10:00,192.53.169.225,192.53.169.225,2,56,64,50,47.44887699962419,reply
4,close,,2026-09-15T19:25:57+10:00,192.53.169.225,192.53.169.225,3,56,64,50,71.38543200017011,reply
4,close,,2026-09-15T19:25:58+10:00,192.53.169.225,192.53.169.225,4,56,64,50,95.26126399941859,reply
4,close,,2026-09-15T19:25:59+10:00,192.53.169.225,192.53.169.225,5,56,64,50,118.72429200047918,reply
4,close,,2026-09-15T19:26:00+10:00,192.53.169.225,192.53.169.225,6,56,64,50,143.1162230001064,reply
