rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
1,baseline,,2026-09-15T19:22:00+10:00,1.1.1.1,1.1.1.1,1,32,40,55,85.50607799952559,reply
1,baseline,,2026-09-15T19:22:01+10:00,1.1.1.1,1.1.1.1,2,32,40,55,109.82638099994801,reply
1,baseline,,2026-09-15T19:22:02+10:00,1.1.1.1,1.1.1.1,3,32,40,55,133.46524799999315,reply
1,baseline,,2026-09-15T19:22:03+10:00,1.1.1.1,1.1.1.1,4,32,40,55,55.01425100010238,reply
1,baseline,,2026-09-15T19:22:04+10:00,1.1.1.1,1.1.1.1,5,32,40,55,78.8660649996018,reply
1,baseline,,2026-09-15T19:22:05+10:00,1.1.1.1,1.1.1.1,6,32,40,55,102.79503499987186,reply
1,baseline,,2026-09-15T19:22:06+10:00,1.1.1.1,1.1.1.1,7,32,40,55,126.28246699932788,reply
1,baseline,,2026-09-15T19:22:07+10:00,1.1.1.1,1.1.1.1,8,32,40,55,47.70855999959167,reply
1,baseline,,2026-09-15T19:22:08+10:00,1.1.1.1,1.1.1.1,9,32,40,55,72.13995200072532,reply
1,baseline,,2026-09-15T19:22:09+10:00,1.1.1.1,1.1.1.1,10,32,40,55,95.66109700062952,reply
1,baseline,,2026-09-15T19:22:11+10:00,1.1.1.1,1.1.1.1,1,500,508,55,53.48346800019499,reply
1,baseline,,2026-09-15T19:22:12+10:00,1.1.1.1,1.1.1.1,2,500,508,55,47.772660000191536,reply
1,baseline,,2026-09-15T19:22:13+10:00,1.1.1.1,1.1.1.1,3,500,508,55,71.42717500028084,reply
1,baseline,,2026-09-15T19:22:14+10:00,1.1.1.1,1.1.1.1,4,500,508,55,97.04561499893316,reply
1,baseline,,2026-09-15T19:22:15+10:00,1.1.1.1,1.1.1.1,5,500,508,55,120.86914800056547,reply
1,baseline,,2026-09-15T19:22:16+10:00,1.1.1.1,1.1.1.1,6,500,508,55,40.91578100087645,reply
1,baseline,,2026-09-15T19:22:17+10:00,1.1.1.1,1.1.1.1,7,500,508,55,64.81252999947174,reply
1,baseline,,2026-09-15T19:22:18+10:00,1.1.1.1,1.1.1.1,8,500,508,55,88.38652499980526,reply
1,baseline,,2026-09-15T19:22:19+10:00,1.1.1.1,1.1.1.1,9,500,508,55,112.10793500140426,reply
