rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
1,baseline,1.1.1.1,32,,,10,10,10,0.0,41.31381530003182,7.949096999936955,144.94152600013877
1,baseline,1.1.1.1,500,,,10,10,10,0.0,49.275167199948555,10.764962999928684,171.71066000014434
1,baseline,1.1.1.1,1400,,,10,10,10,0.0,31.14760119995026,13.700412999924083,79.03551099980177
1,baseline,1.1.1.1,3000,,,10,10,10,0.0,23.996456300028512,14.210789000117074,47.761795000042184
1,baseline,8.8.8.8,32,,,10,10,10,0.0,58.65913989998717,9.72490000003745,231.2747590001436
1,baseline,8.8.8.8,500,,,10,10,9,10.0,60.27225466666803,12.603014999967854,189.20708199993896
1,baseline,8.8.8.8,1400,,,10,10,10,0.0,35.1997751999761,20.084895999843866,114.98751999988599
1,baseline,8.8.8.8,3000,,,10,10,0,100.0,,,
1,baseline,9.9.9.9,32,,,10,10,10,0.0,42.77451230002498,9.956541000065044,124.28526600001533
1,baseline,9.9.9.9,500,,,10,10,10,0.0,17.255575300009696,10.758896999959688,28.1904390001273
1,baseline,9.9.9.9,1400,,,10,10,10,0.0,25.131129699980193,10.36114099997576,56.854577999956746
1,baseline,9.9.9.9,3000,,,10,10,10,0.0,27.296548299955248,12.183035999896674,91.02042099993923
