rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
5,idle,,2026-09-15T16:34:27+10:00,1.1.1.1,1.1.1.1,1,56,64,54,13.453321000042706,reply
5,idle,,2026-09-15T16:34:28+10:00,1.1.1.1,1.1.1.1,2,56,64,54,11.273042999846439,reply
5,idle,,2026-09-15T16:34:29+10:00,1.1.1.1,1.1.1.1,3,56,64,54,8.449487000007139,reply
5,idle,,2026-09-15T16:34:30+10:00,1.1.1.1,1.1.1.1,4,56,64,54,12.71663800002898,reply
5,idle,,2026-09-15T16:34:31+10:00,1.1.1.1,1.1.1.1,5,56,64,54,13.519069000039963,reply
5,idle,,2026-09-15T16:34:32+10:00,1.1.1.1,1.1.1.1,6,56,64,54,11.955506000049354,reply
5,idle,,2026-09-15T16:34:33+10:00,1.1.1.1,1.1.1.1,7,56,64,54,10.726621999992858,reply
5,idle,,2026-09-15T16:34:34+10:00,1.1.1.1,1.1.1.1,8,56,64,54,21.637215999817272,reply
5,idle,,2026-09-15T16:34:35+10:00,1.1.1.1,1.1.1.1,9,56,64,54,9.164574000124048,reply
5,idle,,2026-09-15T16:34:36+10:00,1.1.1.1,1.1.1.1,10,56,64,54,17.33920200013017,reply
5,idle,,2026-09-15T16:34:37+10:00,1.1.1.1,1.1.1.1,11,56,64,54,19.92832200016892,reply
5,idle,,2026-09-15T16:34:38+10:00,1.1.1.1,1.1.1.1,12,56,64,54,15.9005390000857,reply
5,idle,,2026-09-15T16:34:39+10:00,1.1.1.1,1.1.1.1,13,56,64,54,38.584613000011814,reply
5,idle,,2026-09-15T16:34:40+10:00,1.1.1.1,1.1.1.1,14,56,64,54,11.333352000065133,reply
5,idle,,2026-09-15T16:34:41+10:00,1.1.1.1,1.1.1.1,15,56,64,54,12.296385000126975,reply
5,idle,,2026-09-15T16:34:42+10:00,1.1.1.1,1.1.1.1,16,56,64,54,10.939277000034053,reply
5,idle,,2026-09-15T16:34:43+10:00,1.1.1.1,1.1.1.1,17,56,64,54,12.94625399987126,reply
5,idle,,2026-09-15T16:34:44+10:00,1.1.1.1,1.1.1.1,18,56,64,54,17.185298999947918,reply
5,idle,,2026-09-15T16:34:45+10:00,1.1.1.1,1.1.1.1,19,56,64,54,19.41647000012381,reply
5,idle,,2026-09-15T16:34:46+10:00,1.1.1.1,1.1.1.1,20,56,64,54,9.821053999985452,reply
