rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
3,afternoon,,2026-09-15T16:32:24+10:00,1.1.1.1,1.1.1.1,1,56,64,54,14.88536299984844,reply
3,afternoon,,2026-09-15T16:32:25+10:00,1.1.1.1,1.1.1.1,2,56,64,54,13.3257570000751,reply
3,afternoon,,2026-09-15T16:32:26+10:00,1.1.1.1,1.1.1.1,3,56,64,54,9.1124939999645,reply
3,afternoon,,2026-09-15T16:32:27+10:00,1.1.1.1,1.1.1.1,4,56,64,54,10.321708999981638,reply
3,afternoon,,2026-09-15T16:32:28+10:00,1.1.1.1,1.1.1.1,5,56,64,54,57.19136100015021,reply
3,afternoon,,2026-09-15T16:32:29+10:00,1.1.1.1,1.1.1.1,6,56,64,54,10.89802299998155,reply
3,afternoon,,2026-09-15T16:32:30+10:00,1.1.1.1,1.1.1.1,7,56,64,54,9.865794000006645,reply
3,afternoon,,2026-09-15T16:32:31+10:00,1.1.1.1,1.1.1.1,8,56,64,54,17.40671100014879,reply
3,afternoon,,2026-09-15T16:32:32+10:00,1.1.1.1,1.1.1.1,9,56,64,54,12.69855199984704,reply
3,afternoon,,2026-09-15T16:32:33+10:00,1.1.1.1,1.1.1.1,10,56,64,54,8.661931000006007,reply
3,afternoon,,2026-09-15T16:32:34+10:00,8.8.8.8,8.8.8.8,1,56,64,114,14.801378999891313,reply
3,afternoon,,2026-09-15T16:32:35+10:00,8.8.8.8,8.8.8.8,2,56,64,114,9.74014200005513,reply
3,afternoon,,2026-09-15T16:32:36+10:00,8.8.8.8,8.8.8.8,3,56,64,114,9.51690800002325,reply
3,afternoon,,2026-09-15T16:32:37+10:00,8.8.8.8,8.8.8.8,4,56,64,114,11.284040999953504,reply
3,afternoon,,2026-09-15T16:32:38+10:00,8.8.8.8,8.8.8.8,5,56,64,114,10.403155999938463,reply
3,afternoon,,2026-09-15T16:32:39+10:00,8.8.8.8,8.8.8.8,6,56,64,114,12.03818199996931,reply
3,afternoon,,2026-09-15T16:32:40+10:00,8.8.8.8,8.8.8.8,7,56,64,114,19.109418999960326,reply
3,afternoon,,2026-09-15T16:32:41+10:00,8.8.8.8,8.8.8.8,8,56,64,114,11.550273000011657,reply
3,afternoon,,2026-09-15T16:32:42+10:00,8.8.8.8,8.8.8.8,9,56,64,114,178.62083399995754,reply
3,afternoon,,2026-09-15T16:32:43+10:00,8.8.8.8,8.8.8.8,10,56,64,114,17.683503999933237,reply
3,afternoon,,2026-09-15T16:32:44+10:00,9.9.9.9,9.9.9.9,1,56,64,55,30.459119000170176,reply
3,afternoon,,2026-09-15T16:32:45+10:00,9.9.9.9,9.9.9.9,2,56,64,55,14.091999000129363,reply
3,afternoon,,2026-09-15T16:32:46+10:00,9.9.9.9,9.9.9.9,3,56,64,55,50.319502999855104,reply
3,afternoon,,2026-09-15T16:32:47+10:00,9.9.9.9,9.9.9.9,4,56,64,55,8.371143000204029,reply
3,afternoon,,2026-09-15T16:32:48+10:00,9.9.9.9,9.9.9.9,5,56,64,55,99.27406900010283,reply
3,afternoon,,2026-09-15T16:32:49+10:00,9.9.9.9,9.9.9.9,6,56,64,55,23.26000900006875,reply
3,afternoon,,2026-09-15T16:32:50+10:00,9.9.9.9,9.9.9.9,7,56,64,55,9.970801999998002,reply
3,afternoon,,2026-09-15T16:32:51+10:00,9.9.9.9,9.9.9.9,8,56,64,55,8.957978999887928,reply
3,afternoon,,2026-09-15T16:32:52+10:00,9.9.9.9,9.9.9.9,9,56,64,55,12.520692999942185,reply
3,afternoon,,2026-09-15T16:32:53+10:00,9.9.9.9,9.9.9.9,10,56,64,55,117.65060800007632,reply
