rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
4,close,,2026-09-15T19:32:47+10:00,67.219.110.24,67.219.110.24,1,56,64,53,19.69796299999871,reply
4,close,,2026-09-15T19:32:48+10:00,67.219.110.24,67.219.110.24,2,56,64,53,13.838604001648491,reply
4,close,,2026-09-15T19:32:49+10:00,67.219.110.24,67.219.110.24,3,56,64,53,62.799452998660854,reply
4,close,,2026-09-15T19:32:50+10:00,67.219.110.24,67.219.110.24,4,56,64,53,13.086012000712799,reply
4,close,,2026-09-15T19:32:51+10:00,67.219.110.24,67.219.110.24,5,56,64,53,17.01098899866338,reply
4,close,,2026-09-15T19:32:52+10:00,67.219.110.24,67.219.110.24,6,56,64,53,13.81117299933976,reply
4,close,,2026-09-15T19:32:53+10:00,67.219.110.24,67.219.110.24,7,56,64,53,55.337385998427635,reply
4,close,,2026-09-15T19:32:54+10:00,67.219.110.24,67.219.110.24,8,56,64,53,79.8513579993596,reply
4,close,,2026-09-15T19:32:55+10:00,67.219.110.24,67.219.110.24,9,56,64,53,11.356216000422137,reply
4,close,,2026-09-15T19:32:56+10:00,67.219.110.24,67.219.110.24,10,56,64,53,10.135274000276695,reply
4,close,,2026-09-15T19:32:57+10:00,108.61.212.117,108.61.212.117,1,56,64,50,48.53222299971094,reply
4,close,,2026-09-15T19:32:58+10:00,108.61.212.117,108.61.212.117,2,56,64,50,70.8863609997934,reply
4,close,,2026-09-15T19:32:59+10:00,108.61.212.117,108.61.212.117,3,56,64,50,206.18191700123134,reply
4,close,,2026-09-15T19:33:00+10:00,108.61.212.117,108.61.212.117,4,56,64,50,109.75594900082797,reply
4,close,,2026-09-15T19:33:01+10:00,108.61.212.117,108.61.212.117,5,56,64,50,31.86341699984041,reply
4,close,,2026-09-15T19:33:02+10:00,108.61.212.117,108.61.212.117,6,56,64,50,61.95335399934265,reply
4,close,,2026-09-15T19:33:03+10:00,108.61.212.117,108.61.212.117,7,56,64,50,22.64447299967287,reply
4,close,,2026-09-15T19:33:04+10:00,108.61.212.117,108.61.212.117,8,56,64,50,18.714296000325703,reply
4,close,,2026-09-15T19:33:05+10:00,108.61.212.117,108.61.212.117,9,56,64,50,140.24950400016678,reply
4,close,,2026-09-15T19:33:06+10:00,108.61.212.117,108.61.212.117,10,56,64,50,49.17953899894201,reply
4,close,,2026-09-15T19:33:08+10:00,192.53.169.225,192.53.169.225,1,56,64,49,231.75266299949726,reply
4,close,,2026-09-15T19:33:09+10:00,192.53.169.225,192.53.169.225,2,56,64,49,50.86678599946026,reply
4,close,,2026-09-15T19:33:10+10:00,192.53.169.225,192.53.169.225,3,56,64,49,74.14333500128123,reply
4,close,,2026-09-15T19:33:11+10:00,192.53.169.225,192.53.169.225,4,56,64,49,112.43907500102068,reply
4,close,,2026-09-15T19:33:12+10:00,192.53.169.225,192.53.169.225,5,56,64,49,123.73858400133031,reply
4,close,,2026-09-15T19:33:13+10:00,192.53.169.225,192.53.169.225,6,56,64,49,153.3156389996293,reply
4,close,,2026-09-15T19:33:14+10:00,192.53.169.225,192.53.169.225,7,56,64,49,23.92712999971991,reply
4,close,,2026-09-15T19:33:15+10:00,192.53.169.225,192.53.169.225,8,56,64,49,87.45581199946173,reply
4,close,,2026-09-15T19:33:16+10:00,192.53.169.225,192.53.169.225,9,56,64,49,112.27117999987968,reply
4,close,,2026-09-15T19:33:17+10:00,192.53.169.225,192.53.169.225,10,56,64,49,34.23271399879013,reply
