rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
4,close,,2026-09-15T16:01:39+10:00,67.219.110.24,67.219.110.24,1,56,64,52,10.19560603890568,reply
4,close,,2026-09-15T16:01:40+10:00,67.219.110.24,67.219.110.24,2,56,64,52,7.540835998952389,reply
4,close,,2026-09-15T16:01:41+10:00,67.219.110.24,67.219.110.24,3,56,64,52,12.408938957378268,reply
4,close,,2026-09-15T16:01:42+10:00,67.219.110.24,67.219.110.24,4,56,64,52,7.463841000571847,reply
4,close,,2026-09-15T16:01:43+10:00,67.219.110.24,67.219.110.24,5,56,64,52,7.353333989158273,reply
4,close,,2026-09-15T16:01:44+10:00,67.219.110.24,67.219.110.24,6,56,64,52,14.190991059876978,reply
4,close,,2026-09-15T16:01:45+10:00,67.219.110.24,67.219.110.24,7,56,64,52,12.721704901196063,reply
4,close,,2026-09-15T16:01:46+10:00,67.219.110.24,67.219.110.24,8,56,64,52,12.793479021638632,reply
4,close,,2026-09-15T16:01:47+10:00,67.219.110.24,67.219.110.24,9,56,64,52,14.19313601218164,reply
4,close,,2026-09-15T16:01:48+10:00,67.219.110.24,67.219.110.24,10,56,64,52,11.68033096473664,reply
4,close,,2026-09-15T16:01:49+10:00,108.61.212.117,108.61.212.117,1,56,64,49,25.359823019243777,reply
4,close,,2026-09-15T16:01:50+10:00,108.61.212.117,108.61.212.117,2,56,64,49,20.828823908232152,reply
4,close,,2026-09-15T16:01:51+10:00,108.61.212.117,108.61.212.117,3,56,64,49,21.54102991335094,reply
4,close,,2026-09-15T16:01:52+10:00,108.61.212.117,108.61.212.117,4,56,64,49,22.446498973295093,reply
4,close,,2026-09-15T16:01:53+10:00,108.61.212.117,108.61.212.117,5,56,64,49,22.17781392391771,reply
4,close,,2026-09-15T16:01:54+10:00,108.61.212.117,108.61.212.117,6,56,64,49,20.63262602314353,reply
4,close,,2026-09-15T16:01:55+10:00,108.61.212.117,108.61.212.117,7,56,64,49,24.773543002083898,reply
4,close,,2026-09-15T16:01:56+10:00,108.61.212.117,108.61.212.117,8,56,64,49,29.86844105180353,reply
4,close,,2026-09-15T16:01:57+10:00,108.61.212.117,108.61.212.117,9,56,64,49,31.787922023795545,reply
4,close,,2026-09-15T16:01:58+10:00,108.61.212.117,108.61.212.117,10,56,64,49,38.69217401370406,reply
4,close,,2026-09-15T16:01:59+10:00,192.53.169.225,192.53.169.225,1,56,64,48,22.36734004691243,reply
4,close,,2026-09-15T16:02:00+10:00,192.53.169.225,192.53.169.225,2,56,64,48,21.520801004953682,reply
4,close,,2026-09-15T16:02:01+10:00,192.53.169.225,192.53.169.225,3,56,64,48,26.361021911725402,reply
4,close,,2026-09-15T16:02:02+10:00,192.53.169.225,192.53.169.225,4,56,64,48,20.977341919206083,reply
4,close,,2026-09-15T16:02:03+10:00,192.53.169.225,192.53.169.225,5,56,64,48,21.581566077657044,reply
4,close,,2026-09-15T16:02:04+10:00,192.53.169.225,192.53.169.225,6,56,64,48,20.58767108246684,reply
4,close,,2026-09-15T16:02:05+10:00,192.53.169.225,192.53.169.225,7,56,64,48,21.571286022663116,reply
4,close,,2026-09-15T16:02:06+10:00,192.53.169.225,192.53.169.225,8,56,64,48,24.420351022854447,reply
4,close,,2026-09-15T16:02:07+10:00,192.53.169.225,192.53.169.225,9,56,64,48,22.61669805739075,reply
4,close,,2026-09-15T16:02:08+10:00,192.53.169.225,192.53.169.225,10,56,64,48,26.2956089572981,reply
4,midway,,2026-09-15T16:02:09+10:00,45.32.100.168,45.32.100.168,1,56,64,43,415.70230305660516,reply
4,midway,,2026-09-15T16:02:10+10:00,45.32.100.168,45.32.100.168,2,56,64,43,416.2444300018251,reply
4,midway,,2026-09-15T16:02:11+10:00,45.32.100.168,45.32.100.168,3,56,64,43,417.67537395935506,reply
4,midway,,2026-09-15T16:02:12+10:00,45.32.100.168,45.32.100.168,4,56,64,43,414.3854130525142,reply
4,midway,,2026-09-15T16:02:13+10:00,45.32.100.168,45.32.100.168,5,56,64,43,415.97588697914034,reply
4,midway,,2026-09-15T16:02:14+10:00,45.32.100.168,45.32.100.168,6,56,64,43,415.0410529691726,reply
4,midway,,2026-09-15T16:02:15+10:00,45.32.100.168,45.32.100.168,7,56,64,43,418.07081701699644,reply
4,midway,,2026-09-15T16:02:16+10:00,45.32.100.168,45.32.100.168,8,56,64,43,417.8779360372573,reply
4,midway,,2026-09-15T16:02:17+10:00,45.32.100.168,45.32.100.168,9,56,64,43,419.21010497026145,reply
4,midway,,2026-09-15T16:02:18+10:00,45.32.100.168,45.32.100.168,10,56,64,43,424.5390410069376,reply
4,midway,,2026-09-15T16:02:19+10:00,108.61.201.151,108.61.201.151,1,56,64,46,415.88766302447766,reply
4,midway,,2026-09-15T16:02:20+10:00,108.61.201.151,108.61.201.151,2,56,64,46,374.4912849506363,reply
4,midway,,2026-09-15T16:02:21+10:00,108.61.201.151,108.61.201.151,3,56,64,46,379.5526400208473,reply
4,midway,,2026-09-15T16:02:22+10:00,108.61.201.151,108.61.201.151,4,56,64,46,383.9480460155755,reply
4,midway,,2026-09-15T16:02:23+10:00,108.61.201.151,108.61.201.151,5,56,64,46,380.12381200678647,reply
4,midway,,2026-09-15T16:02:24+10:00,108.61.201.151,108.61.201.151,6,56,64,46,376.94729294162244,reply
4,midway,,2026-09-15T16:02:25+10:00,108.61.201.151,108.61.201.151,7,56,64,46,375.55456010159105,reply
4,midway,,2026-09-15T16:02:26+10:00,108.61.201.151,108.61.201.151,8,56,64,46,375.64850598573685,reply
4,midway,,2026-09-15T16:02:27+10:00,108.61.201.151,108.61.201.151,9,56,64,46,382.62260996270925,reply
4,midway,,2026-09-15T16:02:28+10:00,108.61.201.151,108.61.201.151,10,56,64,46,374.9673190759495,reply
4,midway,,2026-09-15T16:02:30+10:00,141.164.34.61,141.164.34.61,1,56,64,45,387.9474800778553,reply
4,midway,,2026-09-15T16:02:31+10:00,141.164.34.61,141.164.34.61,2,56,64,45,385.72212506551296,reply
4,midway,,2026-09-15T16:02:32+10:00,141.164.34.61,141.164.34.61,3,56,64,45,384.56437294371426,reply
4,midway,,2026-09-15T16:02:33+10:00,141.164.34.61,141.164.34.61,4,56,64,45,387.737525976263,reply
4,midway,,2026-09-15T16:02:34+10:00,141.164.34.61,141.164.34.61,5,56,64,45,384.6358279697597,reply
4,midway,,2026-09-15T16:02:35+10:00,141.164.34.61,141.164.34.61,6,56,64,45,389.3323380034417,reply
4,midway,,2026-09-15T16:02:36+10:00,141.164.34.61,141.164.34.61,7,56,64,45,387.51615094952285,reply
4,midway,,2026-09-15T16:02:37+10:00,141.164.34.61,141.164.34.61,8,56,64,45,388.62030301243067,reply
4,midway,,2026-09-15T16:02:38+10:00,141.164.34.61,141.164.34.61,9,56,64,45,388.64056195598096,reply
4,midway,,2026-09-15T16:02:39+10:00,141.164.34.61,141.164.34.61,10,56,64,45,386.32711104582995,reply
4,far,,2026-09-15T16:02:40+10:00,108.61.194.105,108.61.194.105,1,56,64,45,156.6132289590314,reply
4,far,,2026-09-15T16:02:41+10:00,108.61.194.105,108.61.194.105,2,56,64,45,160.1625579642132,reply
4,far,,2026-09-15T16:02:42+10:00,108.61.194.105,108.61.194.105,3,56,64,45,158.30455208197236,reply
4,far,,2026-09-15T16:02:43+10:00,108.61.194.105,108.61.194.105,4,56,64,45,176.9680039724335,reply
