rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
3,afternoon,,2026-09-15T16:01:08+10:00,1.1.1.1,1.1.1.1,1,56,64,54,8.49674898199737,reply
3,afternoon,,2026-09-15T16:01:09+10:00,1.1.1.1,1.1.1.1,2,56,64,54,9.400915005244315,reply
3,afternoon,,2026-09-15T16:01:10+10:00,1.1.1.1,1.1.1.1,3,56,64,54,11.872841976583004,reply
3,afternoon,,2026-09-15T16:01:11+10:00,1.1.1.1,1.1.1.1,4,56,64,54,23.77462899312377,reply
3,afternoon,,2026-09-15T16:01:12+10:00,1.1.1.1,1.1.1.1,5,56,64,54,7.339017000049353,reply
3,afternoon,,2026-09-15T16:01:13+10:00,1.1.1.1,1.1.1.1,6,56,64,54,8.217805996537209,reply
3,afternoon,,2026-09-15T16:01:14+10:00,1.1.1.1,1.1.1.1,7,56,64,54,12.835217989049852,reply
3,afternoon,,2026-09-15T16:01:15+10:00,1.1.1.1,1.1.1.1,8,56,64,54,13.576667988672853,reply
3,afternoon,,2026-09-15T16:01:16+10:00,1.1.1.1,1.1.1.1,9,56,64,54,11.548893991857767,reply
3,afternoon,,2026-09-15T16:01:17+10:00,1.1.1.1,1.1.1.1,10,56,64,54,11.025612941011786,reply
3,afternoon,,2026-09-15T16:01:18+10:00,8.8.8.8,8.8.8.8,1,56,64,114,13.347789063118398,reply
3,afternoon,,2026-09-15T16:01:19+10:00,8.8.8.8,8.8.8.8,2,56,64,114,12.081524007953703,reply
3,afternoon,,2026-09-15T16:01:20+10:00,8.8.8.8,8.8.8.8,3,56,64,114,12.21547496970743,reply
3,afternoon,,2026-09-15T16:01:21+10:00,8.8.8.8,8.8.8.8,4,56,64,114,10.450573987327516,reply
3,afternoon,,2026-09-15T16:01:22+10:00,8.8.8.8,8.8.8.8,5,56,64,114,17.7722389344126,reply
3,afternoon,,2026-09-15T16:01:23+10:00,8.8.8.8,8.8.8.8,6,56,64,114,14.543973025865853,reply
3,afternoon,,2026-09-15T16:01:24+10:00,8.8.8.8,8.8.8.8,7,56,64,114,8.396269986405969,reply
3,afternoon,,2026-09-15T16:01:25+10:00,8.8.8.8,8.8.8.8,8,56,64,114,7.877366966567934,reply
3,afternoon,,2026-09-15T16:01:26+10:00,8.8.8.8,8.8.8.8,9,56,64,114,7.996010011993349,reply
3,afternoon,,2026-09-15T16:01:27+10:00,8.8.8.8,8.8.8.8,10,56,64,114,15.762409078888595,reply
3,afternoon,,2026-09-15T16:01:28+10:00,9.9.9.9,9.9.9.9,1,56,64,55,11.090795043855906,reply
3,afternoon,,2026-09-15T16:01:29+10:00,9.9.9.9,9.9.9.9,2,56,64,55,15.260317013598979,reply
3,afternoon,,2026-09-15T16:01:30+10:00,9.9.9.9,9.9.9.9,3,56,64,55,10.940523003228009,reply
3,afternoon,,2026-09-15T16:01:31+10:00,9.9.9.9,9.9.9.9,4,56,64,55,30.655578011646867,reply
3,afternoon,,2026-09-15T16:01:32+10:00,9.9.9.9,9.9.9.9,5,56,64,55,8.325819042511284,reply
3,afternoon,,2026-09-15T16:01:33+10:00,9.9.9.9,9.9.9.9,6,56,64,55,7.215566001832485,reply
3,afternoon,,2026-09-15T16:01:34+10:00,9.9.9.9,9.9.9.9,7,56,64,55,7.424829062074423,reply
3,afternoon,,2026-09-15T16:01:35+10:00,9.9.9.9,9.9.9.9,8,56,64,55,10.063579073175788,reply
3,afternoon,,2026-09-15T16:01:36+10:00,9.9.9.9,9.9.9.9,9,56,64,55,11.868354049511254,reply
3,afternoon,,2026-09-15T16:01:37+10:00,9.9.9.9,9.9.9.9,10,56,64,55,15.071603003889322,reply
