rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
4,close,67.219.110.24,56,,,10,10,10,0.0,29.692442799751007,10.135274000276695,79.8513579993596
4,close,108.61.212.117,56,,,10,10,10,0.0,75.9961032999854,18.714296000325703,206.18191700123134
4,close,192.53.169.225,56,,,10,10,10,0.0,100.41429180000705,23.92712999971991,231.75266299949726
4,midway,45.32.100.168,56,,,10,10,10,0.0,487.0298544999969,426.95264800022414,569.6141499993246
4,midway,108.61.201.151,56,,,10,10,10,0.0,432.29048490011337,401.06305399967823,473.41920500002743
4,midway,141.164.34.61,56,,,10,10,10,0.0,444.1752196999005,401.8705310008954,501.2630379987968
4,far,108.61.194.105,56,,,10,10,10,0.0,215.9205865000331,160.62587099986558,325.2294379999512
4,far,108.61.198.102,56,,,10,10,10,0.0,352.9503367999496,288.5608119995595,452.9497359999368
4,far,108.61.210.117,56,,,10,10,10,0.0,338.20005690013204,286.3132439997571,447.44352199995774
