rq,condition,ip,size,distance_km,date,attempts,sent,replies,loss_pct,mean_ms,min_ms,max_ms
1,baseline,1.1.1.1,32,,,10,10,10,0.0,19.814271299765096,7.732797999778995,56.714726000791416
1,baseline,1.1.1.1,500,,,10,10,10,0.0,13.070975899790938,8.077524998952867,24.495259000104852
1,baseline,1.1.1.1,1400,,,10,10,10,0.0,20.29716050001298,9.603106000213302,46.048951999182464
1,baseline,1.1.1.1,3000,,,10,10,9,10.0,17.616145667286926,12.200517001474509,28.980370001590927
1,baseline,8.8.8.8,32,,,10,10,10,0.0,9.108580499741947,7.861731000957661,10.715852999055642
1,baseline,8.8.8.8,500,,,10,10,10,0.0,10.661058900222997,8.025197999813827,16.7059560008056
1,baseline,8.8.8.8,1400,,,10,10,10,0.0,13.939827400281501,10.384321998571977,21.144169000763213
1,baseline,8.8.8.8,3000,,,10,10,0,100.0,,,
1,baseline,9.9.9.9,32,,,10,10,10,0.0,18.834590900041803,7.717331998719601,85.8566940005403
1,baseline,9.9.9.9,500,,,10,10,10,0.0,11.860794700078259,7.133827999496134,21.699453000110225
1,baseline,9.9.9.9,1400,,,10,10,10,0.0,48.877331300172955,9.64750200000708,367.6833580011589
1,baseline,9.9.9.9,3000,,,10,10,9,10.0,17.07860088916075,9.633857000153512,32.523804999073036
