rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
3,afternoon,,2026-09-15T19:06:06+10:00,1.1.1.1,1.1.1.1,1,56,64,54,8.509098999638809,reply
3,afternoon,,2026-09-15T19:06:07+10:00,1.1.1.1,1.1.1.1,2,56,64,54,11.218499999813503,reply
3,afternoon,,2026-09-15T19:06:08+10:00,1.1.1.1,1.1.1.1,3,56,64,54,14.96940499964694,reply
3,afternoon,,2026-09-15T19:06:09+10:00,1.1.1.1,1.1.1.1,4,56,64,54,9.167964000880602,reply
3,afternoon,,2026-09-15T19:06:10+10:00,1.1.1.1,1.1.1.1,5,56,64,54,9.141283999269945,reply
3,afternoon,,2026-09-15T19:06:11+10:00,1.1.1.1,1.1.1.1,6,56,64,54,8.22793200131855,reply
3,afternoon,,2026-09-15T19:06:12+10:00,1.1.1.1,1.1.1.1,7,56,64,54,19.244914001319557,reply
3,afternoon,,2026-09-15T19:06:13+10:00,1.1.1.1,1.1.1.1,8,56,64,54,13.477727999998024,reply
3,afternoon,,2026-09-15T19:06:14+10:00,1.1.1.1,1.1.1.1,9,56,64,54,8.848044000842492,reply
3,afternoon,,2026-09-15T19:06:15+10:00,1.1.1.1,1.1.1.1,10,56,64,54,10.471550000147545,reply
3,afternoon,,2026-09-15T19:06:16+10:00,8.8.8.8,8.8.8.8,1,56,64,114,10.894201999690267,reply
3,afternoon,,2026-09-15T19:06:17+10:00,8.8.8.8,8.8.8.8,2,56,64,114,13.758283999777632,reply
3,afternoon,,2026-09-15T19:06:18+10:00,8.8.8.8,8.8.8.8,3,56,64,114,7.928650999019737,reply
3,afternoon,,2026-09-15T19:06:19+10:00,8.8.8.8,8.8.8.8,4,56,64,114,7.992419999936828,reply
3,afternoon,,2026-09-15T19:06:20+10:00,8.8.8.8,8.8.8.8,5,56,64,114,12.432416999217821,reply
3,afternoon,,2026-09-15T19:06:21+10:00,8.8.8.8,8.8.8.8,6,56,64,114,8.946799998739152,reply
3,afternoon,,2026-09-15T19:06:22+10:00,8.8.8.8,8.8.8.8,7,56,64,114,12.982029000340845,reply
3,afternoon,,2026-09-15T19:06:23+10:00,8.8.8.8,8.8.8.8,8,56,64,114,16.002964999643154,reply
3,afternoon,,2026-09-15T19:06:24+10:00,8.8.8.8,8.8.8.8,9,56,64,114,10.813050001161173,reply
3,afternoon,,2026-09-15T19:06:25+10:00,8.8.8.8,8.8.8.8,10,56,64,114,8.43763499869965,reply
3,afternoon,,2026-09-15T19:06:26+10:00,9.9.9.9,9.9.9.9,1,56,64,55,29.409599001155584,reply
3,afternoon,,2026-09-15T19:06:27+10:00,9.9.9.9,9.9.9.9,2,56,64,55,8.54364400038321,reply
3,afternoon,,2026-09-15T19:06:28+10:00,9.9.9.9,9.9.9.9,3,56,64,55,9.237485000994639,reply
3,afternoon,,2026-09-15T19:06:29+10:00,9.9.9.9,9.9.9.9,4,56,64,55,126.71216700073273,reply
3,afternoon,,2026-09-15T19:06:30+10:00,9.9.9.9,9.9.9.9,5,56,64,55,9.554068999932497,reply
3,afternoon,,2026-09-15T19:06:31+10:00,9.9.9.9,9.9.9.9,6,56,64,55,7.084206999934395,reply
3,afternoon,,2026-09-15T19:06:32+10:00,9.9.9.9,9.9.9.9,7,56,64,55,15.676361999794608,reply
3,afternoon,,2026-09-15T19:06:33+10:00,9.9.9.9,9.9.9.9,8,56,64,55,12.71847499992873,reply
3,afternoon,,2026-09-15T19:06:34+10:00,9.9.9.9,9.9.9.9,9,56,64,55,278.1067289997736,reply
3,afternoon,,2026-09-15T19:06:35+10:00,9.9.9.9,9.9.9.9,10,56,64,55,165.34891500123194,reply
