rq,condition,distance_km,timestamp,host,ip,sequence,size,bytes,ttl,rtt_ms,status
2,wired,,2026-09-15T19:05:35+10:00,1.1.1.1,1.1.1.1,1,56,64,54,14.853847000267706,reply
2,wired,,2026-09-15T19:05:36+10:00,1.1.1.1,1.1.1.1,2,56,64,54,9.370603998831939,reply
2,wired,,2026-09-15T19:05:37+10:00,1.1.1.1,1.1.1.1,3,56,64,54,10.883490998821799,reply
2,wired,,2026-09-15T19:05:38+10:00,1.1.1.1,1.1.1.1,4,56,64,54,8.817947000352433,reply
2,wired,,2026-09-15T19:05:39+10:00,1.1.1.1,1.1.1.1,5,56,64,54,21.90494999922521,reply
2,wired,,2026-09-15T19:05:40+10:00,1.1.1.1,1.1.1.1,6,56,64,54,7.981197999470169,reply
2,wired,,2026-09-15T19:05:41+10:00,1.1.1.1,1.1.1.1,7,56,64,54,12.891927999589825,reply
2,wired,,2026-09-15T19:05:42+10:00,1.1.1.1,1.1.1.1,8,56,64,54,8.232729000155814,reply
2,wired,,2026-09-15T19:05:43+10:00,1.1.1.1,1.1.1.1,9,56,64,54,11.56560100025672,reply
2,wired,,2026-09-15T19:05:44+10:00,1.1.1.1,1.1.1.1,10,56,64,54,7.5266249987180345,reply
2,wired,,2026-09-15T19:05:45+10:00,8.8.8.8,8.8.8.8,1,56,64,114,15.878799000347499,reply
2,wired,,2026-09-15T19:05:46+10:00,8.8.8.8,8.8.8.8,2,56,64,114,12.523006000265013,reply
2,wired,,2026-09-15T19:05:47+10:00,8.8.8.8,8.8.8.8,3,56,64,114,9.496881000814028,reply
2,wired,,2026-09-15T19:05:48+10:00,8.8.8.8,8.8.8.8,4,56,64,114,10.52695200087328,reply
2,wired,,2026-09-15T19:05:49+10:00,8.8.8.8,8.8.8.8,5,56,64,114,11.641963001238764,reply
2,wired,,2026-09-15T19:05:50+10:00,8.8.8.8,8.8.8.8,6,56,64,114,8.921913000449422,reply
2,wired,,2026-09-15T19:05:51+10:00,8.8.8.8,8.8.8.8,7,56,64,114,8.771890999923926,reply
2,wired,,2026-09-15T19:05:52+10:00,8.8.8.8,8.8.8.8,8,56,64,114,24.13714800059097,reply
2,wired,,2026-09-15T19:05:53+10:00,8.8.8.8,8.8.8.8,9,56,64,114,7.56912600081705,reply
2,wired,,2026-09-15T19:05:54+10:00,8.8.8.8,8.8.8.8,10,56,64,114,32.910441999774775,reply
2,wired,,2026-09-15T19:05:55+10:00,9.9.9.9,9.9.9.9,1,56,64,55,76.6938159995334,reply
2,wired,,2026-09-15T19:05:56+10:00,9.9.9.9,9.9.9.9,2,56,64,55,7.7444950002245605,reply
2,wired,,2026-09-15T19:05:57+10:00,9.9.9.9,9.9.9.9,3,56,64,55,10.103889000674826,reply
2,wired,,2026-09-15T19:05:58+10:00,9.9.9.9,9.9.9.9,4,56,64,55,10.728932000347413,reply
2,wired,,2026-09-15T19:05:59+10:00,9.9.9.9,9.9.9.9,5,56,64,55,17.17074299995147,reply
2,wired,,2026-09-15T19:06:00+10:00,9.9.9.9,9.9.9.9,6,56,64,55,16.303046000757604,reply
2,wired,,2026-09-15T19:06:01+10:00,9.9.9.9,9.9.9.9,7,56,64,55,10.184459999436513,reply
2,wired,,2026-09-15T19:06:02+10:00,9.9.9.9,9.9.9.9,8,56,64,55,14.71273300012399,reply
2,wired,,2026-09-15T19:06:03+10:00,9.9.9.9,9.9.9.9,9,56,64,55,7.97729100122524,reply
2,wired,,2026-09-15T19:06:04+10:00,9.9.9.9,9.9.9.9,10,56,64,55,10.268719001032878,reply
